MUSA_POINT|PANDEMONIUM|2965,3146;2970,3146;2975,3141;2975,3106;3078,3003;3078,2987
MUSA_POINT|PORT_SARIM|2965,3146;2970,3146;2975,3141;2975,3106;2989,3092;3000,3092;3056,3148;3056,3194
MUSA_POINT|RUINS_OF_UNKAH|2965,3146;2970,3146;2975,3141;2975,3106;3078,3003;3078,2983;3123,2938;3123,2821;3143,2821;3143,2824
PANDEMONIUM|RUINS_OF_UNKAH|3078,2987;3078,2967;3123,2922;3123,2824;3143,2824
RUINS_OF_UNKAH|SUMMER_SHORE|3143,2824;3137,2818;3137,2710;3152,2695;3152,2649;3067,2564;3067,2398;3098,2367;3174,2367
PORT_SARIM|PANDEMONIUM|3056,3194;3056,3151;3034,3129;3034,3054;3078,3010;3078,2987
PORT_SARIM|RUINS_OF_UNKAH|3056,3194;3056,3144;3031,3119;3031,3051;3126,2956;3126,2829;3131,2824;3143,2824
PORT_PISCARILIUS|PORT_SARIM|1845,3681;1953,3573;1953,3150;1866,3063;1866,2845;1893,2818;1970,2818;2021,2767;2091,2767;2116,2742;2116,2702;2160,2658;2413,2658;2437,2682;2575,2682;2771,2878;2988,2878;3080,2970;3080,3006;3028,3058;3028,3118;3056,3146;3056,3194
PORT_PISCARILIUS|PORT_ROBERTS|1845,3681;1845,3663;1914,3594;1914,3380;1858,3324;1858,3307
PISCATORIS|PORT_PISCARILIUS|2300,3689;2278,3667;2239,3667;2176,3604;2028,3604;2009,3585;1941,3585;1845,3681
HOSIDIUS|PORT_PISCARILIUS|1726,3447;1726,3422;1747,3401;1878,3401;1900,3423;1900,3597;1845,3652;1845,3681
LUNAR_ISLE|PORT_PISCARILIUS|2157,3881;2169,3881;2172,3878;2172,3857;2159,3844;2153,3844;2147,3838;1934,3838;1865,3769;1865,3694;1852,3681;1845,3681
PORT_PISCARILIUS|PORT_TYRAS|1845,3681;1892,3634;1892,3452;1953,3391;1953,3180;1988,3145;2078,3145;2108,3115;2141,3115
PORT_PISCARILIUS|RELLEKKA|1845,3681;1958,3681;2000,3723;2195,3723;2228,3756;2464,3756;2511,3709;2630,3709
PORT_PISCARILIUS|PRIFDDINAS|1845,3681;1907,3619;1907,3383;1936,3354;2091,3354;2126,3319;2158,3319
ALDARIN|CIVITAS_ILLA_FORTIS|1454,2977;1472,2977;1569,2880;1739,2880;1813,2954;1813,3021;1889,3097;1889,3145;1827,3207;1770,3207;1761,3198;1761,3150;1767,3144;1769,3144
CIVITAS_ILLA_FORTIS|PORT_PISCARILIUS|1769,3144;1762,3151;1762,3235;1897,3370;1897,3609;1845,3661;1845,3681
CIVITAS_ILLA_FORTIS|PORT_ROBERTS|1769,3144;1761,3152;1761,3255;1814,3308;1858,3307
CIVITAS_ILLA_FORTIS|DEEPFIN_POINT|1769,3144;1761,3152;1761,3193;1770,3202;1833,3202;1916,3119;1916,2940;1896,2920;1896,2777;1921,2752;1923,2752
CIVITAS_ILLA_FORTIS|PRIFDDINAS|1769,3144;1760,3153;1760,3236;1885,3361;2083,3361;2125,3319;2158,3319
CIVITAS_ILLA_FORTIS|SUNSET_COAST|1769,3144;1761,3152;1761,3193;1771,3203;1833,3203;1892,3144;1892,3082;1814,3004;1814,2951;1742,2879;1571,2879;1506,2944;1506,2971
SUNSET_COAST|PORT_ROBERTS|1506,2971;1506,2944;1571,2879;1731,2880;1819,2968;1819,3030;1891,3102;1891,3144;1858,3177;1858,3307
PORT_ROBERTS|HOSIDIUS|1858,3307;1858,3324;1914,3380;1878,3401;1747,3401;1726,3422;1726,3447
PORT_ROBERTS|PORT_TYRAS|1858,3307;1858,3280;1869,3269;1922,3269;1956,3235;1956,3172;1989,3139;2073,3139;2097,3115;2141,3115
DEEPFIN_POINT|PORT_TYRAS|1923,2752;1896,2779;1896,2827;2041,2972;2066,2972;2133,3039;2133,3093;2141,3101;2141,3115
PORT_TYRAS|PRIFDDINAS|2141,3115;2133,3123;2133,3135;2151,3153;2151,3311;2158,3319
ALDARIN|PORT_TYRAS|1454,2977;1465,2977;1563,2879;1724,2879;1780,2935;2011,2935;2120,3044;2120,3106;2129,3115;2141,3115
PORT_ROBERTS|PRIFDDINAS|1858,3307;1858,3323;1896,3361;2057,3361;2099,3319;2158,3319
DEEPFIN_POINT|PRIFDDINAS|1923,2752;1886,2789;1886,2816;2054,2984;2054,3173;2153,3272;2153,3300;2158,3305;2158,3319
ALDARIN|PRIFDDINAS|1454,2977;1471,2977;1568,2880;1741,2880;1779,2918;2000,2918;2127,3045;2127,3131;2153,3157;2153,3296;2158,3301;2158,3319
LUNAR_ISLE|PRIFDDINAS|2157,3881;2165,3881;2173,3873;2173,3799;2207,3765;2207,3637;2183,3613;2105,3613;2062,3570;2062,3503;2073,3492;2073,3373;2127,3319;2158,3319
ETCETERIA|RELLEKKA|2612,3836;2612,3826;2630,3808;2630,3709
RELLEKKA|SUNSET_COAST|2630,3709;2514,3709;2469,3754;2250,3754;2216,3720;2216,3637;2192,3613;2006,3613;1960,3567;1960,3169;1794,3003;1794,2947;1727,2880;1567,2880;1506,2941;1506,2971
PORT_ROBERTS|RELLEKKA|1858,3307;1854,3326;2047,3519;2047,3543;2111,3607;2185,3607;2230,3652;2230,3739;2245,3754;2465,3754;2510,3709;2630,3709
PISCATORIS|RELLEKKA|2300,3689;2300,3704;2317,3721;2499,3721;2511,3709;2630,3709
PORT_TYRAS|RELLEKKA|2141,3115;2141,3170;2023,3288;2023,3375;2065,3417;2065,3559;2113,3607;2185,3607;2229,3651;2229,3740;2243,3754;2467,3754;2512,3709;2630,3709
ETCETERIA|PORT_ROBERTS|2612,3836;2612,3825;2580,3793;2486,3793;2453,3760;2253,3760;2206,3713;2086,3713;2073,3726;2004,3726;1896,3618;1896,3366;1858,3328;1858,3307
ETCETERIA|PORT_PISCARILIUS|2612,3836;2612,3818;2586,3792;2485,3792;2451,3758;2253,3758;2208,3713;2075,3713;2056,3732;2011,3732;1960,3681;1845,3681
ETCETERIA|SUNSET_COAST|2612,3836;2549,3773;2449,3773;2429,3753;2245,3753;2214,3722;2214,3635;2183,3604;1992,3604;1958,3570;1958,3168;1840,3050;1809,3050;1794,3035;1794,2951;1723,2880;1597,2880;1575,2902;1575,2927;1566,2936;1533,2936;1506,2963;1506,2971
ETCETERIA|PISCATORIS|2612,3836;2612,3816;2586,3790;2486,3790;2435,3739;2332,3739;2300,3707;2300,3689
ETCETERIA|HOSIDIUS|2612,3836;2612,3820;2585,3793;2486,3793;2456,3763;2258,3763;2215,3720;2215,3632;2185,3602;1990,3602;1909,3521;1894,3506;1894,3462;1862,3430;1800,3430;1779,3451;1758,3451;1754,3447;1726,3447
LUNAR_ISLE|PISCATORIS|2157,3881;2160,3881;2190,3851;2219,3851;2300,3770;2300,3689
DEEPFIN_POINT|LUNAR_ISLE|1923,2752;1892,2783;1892,2917;1892,2962;1936,3006;1936,3138;1957,3159;1957,3564;1999,3606;2179,3606;2208,3635;2208,3763;2167,3804;2167,3852;2172,3857;2172,3868;2159,3881;2157,3881
LUNAR_ISLE|PORT_ROBERTS|2157,3881;2160,3881;2174,3867;2174,3859;2159,3844;2137,3844;2131,3838;2063,3838;2025,3800;2025,3748;1908,3631;1908,3389;1858,3339;1858,3307
CIVITAS_ILLA_FORTIS|LUNAR_ISLE|1769,3144;1760,3153;1760,3226;2045,3511;2045,3543;2112,3610;2191,3610;2205,3624;2205,3768;2172,3801;2172,3868;2159,3881;2157,3881
ALDARIN|LUNAR_ISLE|1454,2977;1483,2977;1524,2936;1566,2936;1576,2926;1576,2901;1597,2880;1739,2880;1831,2972;1831,3044;1957,3170;1957,3405;1909,3453;1909,3636;2065,3792;2065,3800;2106,3841;2149,3841;2159,3851;2166,3851;2172,3857;2172,3868;2159,3881;2157,3881
PORT_SARIM|RELLEKKA|3056,3194;3056,3149;3009,3102;2980,3102;2968,3114;2968,3154;2906,3216;2817,3216;2781,3252;2720,3252;2688,3220;2688,3148;2726,3110;2726,2834;2578,2686;2168,2686;2095,2759;2029,2759;1985,2803;1985,2881;1934,2932;1934,3132;1960,3158;1960,3450;2116,3606;2189,3606;2229,3646;2229,3736;2248,3755;2466,3755;2512,3709;2630,3709
MUSA_POINT|SUMMER_SHORE|2965,3146;2965,3119;3007,3077;3007,3029;3004,3026;3004,2891;2982,2869;2982,2823;3022,2783;3022,2714;3071,2665;3071,2413;3086,2398;3096,2398;3101,2393;3104,2393;3109,2388;3115,2388;3136,2367;3174,2367
MUSA_POINT|PORT_TYRAS|2965,3146;2965,3119;3007,3077;3007,3029;3004,3026;3004,2898;2983,2877;2723,2877;2648,2802;2648,2725;2608,2685;2158,2685;2083,2760;2030,2760;1990,2800;1990,2894;2141,3045;2141,3115
DEEPFIN_POINT|RUINS_OF_UNKAH|1923,2752;1928,2747;2100,2747;2161,2686;2748,2686;2837,2597;3086,2597;3145,2656;3145,2738;3136,2747;3136,2812;3143,2819;3143,2824
MUSA_POINT|PORT_PISCARILIUS|2965,3146;2965,3120;3007,3078;3007,2917;2969,2879;2768,2879;2576,2687;2158,2687;2073,2772;2013,2772;1981,2804;1981,2882;1931,2932;1931,3129;1958,3156;1958,3539;1845,3652;1845,3681
CIVITAS_ILLA_FORTIS|PORT_SARIM|1769,3144;1761,3152;1761,3191;1776,3206;1827,3206;1919,3114;1919,2937;1982,2874;1982,2815;2044,2753;2099,2753;2168,2684;2580,2684;2776,2880;2979,2880;3006,2907;3006,3090;3056,3140;3056,3194
LUNAR_ISLE|PORT_TYRAS|2157,3881;2159,3881;2173,3867;2173,3858;2168,3853;2168,3801;2209,3760;2209,3631;2183,3605;2105,3605;2064,3564;2064,3372;2144,3292;2144,3148;2131,3135;2131,3121;2137,3115;2141,3115
PRIFDDINAS|RELLEKKA|2158,3319;2115,3319;2065,3369;2065,3562;2107,3604;2185,3604;2229,3648;2229,3733;2253,3757;2464,3757;2512,3709;2630,3709
DEEPFIN_POINT|RELLEKKA|1923,2752;1899,2776;1899,2958;1932,2991;1932,3129;1958,3155;1958,3559;2007,3608;2182,3608;2240,3666;2240,3744;2254,3758;2464,3758;2513,3709;2630,3709
DEEPFIN_POINT|ETCETERIA|1923,2752;1899,2776;1899,2958;1932,2991;1932,3129;1958,3155;1958,3559;2007,3608;2182,3608;2240,3666;2240,3744;2254,3758;2450,3758;2489,3797;2580,3797;2612,3829;2612,3836
DEEPFIN_POINT|HOSIDIUS|1923,2752;1891,2784;1891,2936;1924,2969;1924,3118;1957,3151;1957,3334;1891,3400;1749,3400;1726,3423;1726,3447
PORT_PISCARILIUS|DEEPFIN_POINT|1845,3681;1845,3658;1951,3552;1951,3138;1929,3116;1929,2902;1913,2886;1913,2760;1921,2752;1923,2752
DEEPFIN_POINT|PORT_ROBERTS|1923,2752;1879,2796;1879,2899;1921,2941;1921,3117;1953,3149;1953,3232;1920,3265;1871,3265;1858,3278;1858,3307
PORT_ROBERTS|PORT_SARIM|1858,3307;1858,3285;1875,3268;1929,3268;1957,3240;1957,3140;2001,3096;2001,2913;1981,2893;1981,2818;2045,2754;2094,2754;2160,2688;2582,2688;2774,2880;2974,2880;3007,2913;3007,3107;3056,3156;3056,3194
ALDARIN|PISCATORIS|1454,2977;1474,2977;1514,2937;1565,2937;1576,2926;1576,2901;1597,2880;1734,2880;1821,2967;1821,3031;1958,3168;1958,3569;1994,3605;2187,3605;2246,3664;2284,3664;2300,3680;2300,3689
ALDARIN|RELLEKKA|1454,2977;1474,2977;1514,2937;1565,2937;1576,2926;1576,2901;1597,2880;1734,2880;1821,2967;1821,3031;1958,3168;1958,3569;1994,3605;2187,3605;2222,3640;2222,3740;2238,3756;2465,3756;2512,3709;2630,3709
ALDARIN|PORT_ROBERTS|1454,2977;1474,2977;1514,2937;1565,2937;1576,2926;1576,2901;1597,2880;1731,2880;1819,2968;1819,3030;1891,3102;1891,3144;1858,3177;1858,3307
ALDARIN|SUNSET_COAST|1454,2977;1476,2977;1482,2971;1506,2971
ALDARIN|DEEPFIN_POINT|1454,2977;1474,2977;1514,2937;1565,2937;1576,2926;1576,2901;1597,2880;1712,2880;1840,2752;1923,2752
